CMDLINE ./NetAnim
MEM 282.367188 1683232419.5769
MEM 283.398438 1683232419.6790
MEM 284.945312 1683232419.7793
MEM 285.976562 1683232419.8796
MEM 287.265625 1683232419.9799
MEM 288.554688 1683232420.0802
MEM 289.585938 1683232420.1807
MEM 290.875000 1683232420.2810
MEM 292.164062 1683232420.3814
MEM 293.195312 1683232420.4819
MEM 294.484375 1683232420.5822
MEM 295.773438 1683232420.6825
MEM 297.062500 1683232420.7829
MEM 298.093750 1683232420.8834
MEM 299.382812 1683232420.9838
MEM 300.671875 1683232421.0841
MEM 301.960938 1683232421.1844
MEM 302.992188 1683232421.2849
MEM 304.281250 1683232421.3852
MEM 305.570312 1683232421.4855
MEM 306.859375 1683232421.5858
MEM 308.148438 1683232421.6861
MEM 309.179688 1683232421.7864
MEM 310.468750 1683232421.8866
MEM 311.757812 1683232421.9868
MEM 313.046875 1683232422.0872
MEM 314.078125 1683232422.1879
MEM 315.367188 1683232422.2882
MEM 316.656250 1683232422.3885
MEM 317.687500 1683232422.4890
MEM 318.976562 1683232422.5893
MEM 320.265625 1683232422.6903
MEM 321.554688 1683232422.7908
MEM 322.843750 1683232422.8911
MEM 323.875000 1683232422.9915
MEM 325.164062 1683232423.0919
MEM 326.453125 1683232423.1923
MEM 327.484375 1683232423.2925
MEM 328.773438 1683232423.3930
MEM 329.804688 1683232423.4934
MEM 331.093750 1683232423.5938
MEM 332.382812 1683232423.6946
MEM 333.414062 1683232423.7948
MEM 334.703125 1683232423.8955
MEM 335.992188 1683232423.9958
MEM 337.281250 1683232424.0960
MEM 338.570312 1683232424.1966
MEM 339.601562 1683232424.2968
MEM 340.890625 1683232424.3971
MEM 342.179688 1683232424.4977
MEM 343.468750 1683232424.5985
MEM 344.500000 1683232424.6990
MEM 345.789062 1683232424.7993
MEM 347.078125 1683232424.8997
MEM 348.367188 1683232425.0002
MEM 349.656250 1683232425.1014
MEM 350.687500 1683232425.2017
MEM 351.976562 1683232425.3020
MEM 353.265625 1683232425.4023
