CMDLINE C:\Users\boys4\AppData\Local\Programs\Python\Python310\python.exe ns3Visualizer.py
MEM 1320.808594 1683207445.2632
MEM 1358.511719 1683207445.3732
MEM 1399.382812 1683207445.4862
MEM 1440.792969 1683207445.5972
MEM 1481.578125 1683207445.7072
MEM 1523.128906 1683207445.8188
MEM 1564.132812 1683207445.9308
MEM 1571.289062 1683207446.0418
MEM 1571.289062 1683207446.1518
MEM 1571.289062 1683207446.2658
MEM 1571.289062 1683207446.3718
MEM 1571.289062 1683207446.4788
MEM 1611.785156 1683207446.5928
MEM 1653.460938 1683207446.7048
MEM 1694.683594 1683207446.8158
MEM 1735.367188 1683207446.9248
MEM 1776.019531 1683207447.0348
MEM 1817.988281 1683207447.1468
MEM 1859.171875 1683207447.2608
MEM 1900.335938 1683207447.3698
MEM 1941.207031 1683207447.4818
MEM 1948.769531 1683207447.5898
MEM 1948.769531 1683207447.6988
MEM 1948.769531 1683207447.8108
MEM 1948.769531 1683207447.9218
MEM 1948.769531 1683207448.0358
MEM 1948.769531 1683207448.1444
MEM 1981.574219 1683207448.2558
MEM 2022.960938 1683207448.3678
MEM 2062.148438 1683207448.4775
MEM 2103.031250 1683207448.5872
MEM 2143.203125 1683207448.6982
MEM 2183.394531 1683207448.8082
MEM 2223.156250 1683207448.9152
MEM 2263.175781 1683207449.0252
MEM 2303.757812 1683207449.1352
MEM 2344.628906 1683207449.2452
MEM 2385.597656 1683207449.3552
MEM 2420.648438 1683207449.4652
MEM 2420.648438 1683207449.5782
MEM 2420.648438 1683207449.6882
MEM 2420.648438 1683207449.7972
MEM 2420.648438 1683207449.9082
MEM 2420.648438 1683207450.0170
MEM 2420.648438 1683207450.1270
MEM 2420.648438 1683207450.2370
MEM 2433.101562 1683207450.3490
MEM 2473.433594 1683207450.4590
MEM 2514.105469 1683207450.5680
MEM 2555.378906 1683207450.6790
MEM 2595.863281 1683207450.7884
MEM 2636.996094 1683207450.9004
MEM 2677.730469 1683207451.0104
MEM 2712.265625 1683207451.1204
MEM 2751.968750 1683207451.2299
MEM 2792.554688 1683207451.3409
MEM 2833.132812 1683207451.4489
MEM 2869.703125 1683207451.5579
MEM 2909.722656 1683207451.6679
MEM 2949.675781 1683207451.7769
MEM 2990.503906 1683207451.8889
MEM 3010.312500 1683207451.9959
MEM 3010.312500 1683207452.1059
MEM 3010.312500 1683207452.2159
MEM 3010.312500 1683207452.3259
MEM 3010.312500 1683207452.4339
MEM 3010.312500 1683207452.5469
MEM 3010.312500 1683207452.6719
MEM 3010.312500 1683207452.7789
MEM 3010.312500 1683207452.8899
MEM 3010.312500 1683207453.0020
MEM 3033.476562 1683207453.1140
MEM 3072.769531 1683207453.2260
MEM 3114.261719 1683207453.3380
MEM 3154.945312 1683207453.4480
MEM 3195.707031 1683207453.5580
MEM 3236.027344 1683207453.6690
MEM 3276.558594 1683207453.7800
MEM 3317.281250 1683207453.8920
MEM 3357.343750 1683207454.0020
MEM 3397.875000 1683207454.1120
MEM 3438.570312 1683207454.2270
MEM 3480.089844 1683207454.3380
MEM 3520.722656 1683207454.4461
MEM 3561.937500 1683207454.5571
MEM 3602.414062 1683207454.6661
MEM 3643.917969 1683207454.7781
MEM 3684.707031 1683207454.8899
MEM 3725.308594 1683207454.9992
MEM 3747.179688 1683207455.1092
MEM 3747.179688 1683207455.2222
MEM 3747.179688 1683207455.3272
MEM 3747.179688 1683207455.4382
MEM 3747.179688 1683207455.5492
MEM 3747.179688 1683207455.6562
MEM 3747.179688 1683207455.7670
MEM 3747.179688 1683207455.8790
MEM 3747.179688 1683207455.9900
MEM 3747.179688 1683207456.0990
MEM 3747.179688 1683207456.2090
MEM 3747.179688 1683207456.3190
